NL_Query,GT_Glossary,Predicted_Glossary,Combined_Score
How much was the COGS in May 2025?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),6.0255
Can you tell me what was the Gross Profit last year?,Gross Profit,Gross Profit,6.1713
Could you share the Gross Profit for the last quarter?,Gross Profit,Gross Profit,6.1009
What was the Gross Profit total this month?,Gross Profit,Gross Profit,6.2263
Can you provide the Gross Profit value for Q1 2025?,Gross Profit,Gross Profit,5.8461
How much was the Gross Profit in May 2025?,Gross Profit,Gross Profit,6.0549
Can you tell me what was the Operating Expenses last year?,Operating Expenses,Operating Expenses,6.0619
I'd like to know the Operating Expenses from the last quarter.,Operating Expenses,Operating Expenses,5.8041
What was the Operating Expenses amount this month?,Operating Expenses,Operating Expenses,6.1029
Can you share the Operating Expenses for Q1 2025?,Operating Expenses,Operating Expenses,6.0743
How much were the Operating Expenses in May 2025?,Operating Expenses,Operating Expenses,6.0329
Can you tell me what was the Operating Profit last year?,Operating Profit (EBIT),Operating Profit (EBIT),5.9297
I'd like to know the EBIT from the last quarter.,Operating Profit (EBIT),Operating Profit (EBIT),3.6674
What was the Operating Profit total this month?,Operating Profit (EBIT),Operating Profit (EBIT),6.0863
How much was the Operating Profit in Q1 2025?,Operating Profit (EBIT),Operating Profit (EBIT),6.024
What was the EBIT value in May 2025?,Operating Profit (EBIT),Operating Profit (EBIT),1.1087
Can you tell me what was the EBITDA last year?,EBITDA,EBITDA,5.374
"Could you share the Earnings before Interest, Tax, Depreciation, and Amortisation for the last quarter?",EBITDA,EBITDA,6.3159
What was the EBITDA amount this month?,EBITDA,EBITDA,5.412
Can you provide the EBITDA value for Q1 2025?,EBITDA,EBITDA,3.4171
How much was the EBITDA in May 2025?,EBITDA,EBITDA,5.437
Can you tell me what was the Net Profit (PAT) last year?,Net Profit (PAT),Net Profit (PAT),6.3131
Can you provide the Net Profit (PAT) amount for the last quarter?,Net Profit (PAT),Net Profit (PAT),6.1086
What was the Net Profit total this month?,Net Profit (PAT),Net Profit (PAT),6.0943
How much was the Net Profit in Q1 2025?,Net Profit (PAT),Net Profit (PAT),5.9832
What was the Net Profit value in May 2025?,Net Profit (PAT),Net Profit (PAT),5.5841
Can you tell me what was the Earnings Per Share (EPS) last year?,Earnings Per Share (EPS),Earnings Per Share (EPS),6.2854
How much was the EPS during the last quarter?,Earnings Per Share (EPS),Earnings Per Share (EPS),4.5866
What was the EPS amount this month?,Earnings Per Share (EPS),Earnings Per Share (EPS),4.3029
Can you share the EPS for Q1 2025?,Earnings Per Share (EPS),Earnings Per Share (EPS),2.6644
How much was the EPS in May 2025?,Earnings Per Share (EPS),Earnings Per Share (EPS),4.7776
Can you tell me what was the Operating Cash Flow last year?,Operating Cash Flow,Operating Cash Flow,6.1339
Can you provide the Operating Cash Flow amount for the last quarter?,Operating Cash Flow,Operating Cash Flow,5.6926
What was the Operating Cash Flow total this month?,Operating Cash Flow,Operating Cash Flow,6.1831
How much was the Operating Cash Flow in Q1 2025?,Operating Cash Flow,Operating Cash Flow,6.0591
What was the Operating Cash Flow value in May 2025?,Operating Cash Flow,Operating Cash Flow,5.9367
Can you tell me what was the Investing Cash Flow last year?,Investing Cash Flow,Investing Cash Flow,6.2489
Can you provide the Investing Cash Flow amount for the last quarter?,Investing Cash Flow,Investing Cash Flow,5.9536
What was the Investing Cash Flow total this month?,Investing Cash Flow,Investing Cash Flow,6.2445
Could you share the Investing Cash Flow for Q1 2025?,Investing Cash Flow,Investing Cash Flow,6.2336
How much was the Investing Cash Flow in May 2025?,Investing Cash Flow,Investing Cash Flow,6.1584
Can you tell me what was the Financing Cash Flow last year?,Financing Cash Flow,Financing Cash Flow,6.3074
Can you provide the Financing Cash Flow amount for the last quarter?,Financing Cash Flow,Financing Cash Flow,6.0655
What was the Financing Cash Flow total this month?,Financing Cash Flow,Financing Cash Flow,6.2763
How much was the Financing Cash Flow in Q1 2025?,Financing Cash Flow,Financing Cash Flow,6.2602
What was the Financing Cash Flow value in May 2025?,Financing Cash Flow,Financing Cash Flow,6.0918
Can you tell me what was the Free Cash Flow last year?,Free Cash Flow,Free Cash Flow,6.1818
Tell me the value of Free Cash Flow in the last quarter.,Free Cash Flow,Free Cash Flow,5.9257
What was the Free Cash Flow amount this month?,Free Cash Flow,Free Cash Flow,6.2537
Can you share the Free Cash Flow for Q1 2025?,Free Cash Flow,Free Cash Flow,6.2307
How much was the Free Cash Flow in May 2025?,Free Cash Flow,Free Cash Flow,6.1149
Can you tell me what was the Depreciation last year?,Depreciation,Depreciation,5.796
Can you provide the Depreciation amount for the last quarter?,Depreciation,Depreciation,5.4043
What was the Depreciation total this month?,Depreciation,Depreciation,5.8292
How much was the Depreciation in Q1 2025?,Depreciation,Depreciation,5.8391
What was the Depreciation value in May 2025?,Depreciation,Depreciation,5.8676
Can you tell me what was the Amortization last year?,Amortization,Amortization,5.6959
Tell me the value of Amortization in the last quarter.,Amortization,Amortization,5.0013
What was the Amortization amount this month?,Amortization,Amortization,5.513
Could you share the Amortization for Q1 2025?,Amortization,Amortization,5.9553
How much was the Amortization in May 2025?,Amortization,Amortization,5.478
Can you tell me what was the Accruals last year?,Accruals,Accruals,5.8348
Could you share the Accruals for the last quarter?,Accruals,Accruals,5.9518
What was the Accruals total this month?,Accruals,Accruals,5.9438
Can you provide the Accruals value for Q1 2025?,Accruals,Accruals,5.6379
How much were the Accruals in May 2025?,Accruals,Accruals,5.9626
Can you tell me what was the Provisions last year?,Provisions,Provisions,5.9282
Tell me the value of Provisions in the last quarter.,Provisions,Provisions,5.4358
What was the Provisions amount this month?,Provisions,Provisions,5.9884
How much were the Provisions in Q1 2025?,Provisions,Provisions,6.1114
What was the Provisions value in May 2025?,Provisions,Provisions,5.9051
Can you tell me what was the Contingent Liabilities last year?,Contingent Liabilities,Contingent Liabilities,6.2492
I'd like to know the Contingent Liabilities from the last quarter.,Contingent Liabilities,Contingent Liabilities,6.149
What was the Contingent Liabilities total this month?,Contingent Liabilities,Contingent Liabilities,6.2359
Can you share the Contingent Liabilities for Q1 2025?,Contingent Liabilities,Contingent Liabilities,6.3238
How much were the Contingent Liabilities in May 2025?,Contingent Liabilities,Contingent Liabilities,5.9724
Can you tell me what was the Net Profit Margin last year?,Net Profit Margin,Net Profit Margin,6.1427
I'd like to know the Net Profit Margin from the last quarter.,Net Profit Margin,Net Profit Margin,6.1853
What was the Net Profit Margin total this month?,Net Profit Margin,Net Profit Margin,6.2539
Can you provide the Net Profit Margin value for Q1 2025?,Net Profit Margin,Net Profit Margin,6.0101
How much was the Net Profit Margin in May 2025?,Net Profit Margin,Net Profit Margin,5.9453
Can you tell me what was the Return on Assets (ROA) last year?,Return on Assets (ROA),Return on Assets (ROA),6.4246
What was the ROA in the last quarter?,Return on Assets (ROA),Return on Assets (ROA),6.425
Can you share the ROA total this month?,Return on Assets (ROA),Return on Assets (ROA),5.7378
How much was the ROA in Q1 2025?,Return on Assets (ROA),Return on Assets (ROA),6.0738
What was the ROA value in May 2025?,Return on Assets (ROA),Return on Assets (ROA),5.9984
Can you tell me what was the Return on Equity (ROE) last year?,Return on Equity (ROE),Return on Equity (ROE),6.324
Give me the ROE figure for the last quarter.,Return on Equity (ROE),Return on Equity (ROE),6.1288
What was the ROE total this month?,Return on Equity (ROE),Return on Equity (ROE),5.9278
Can you provide the ROE value for Q1 2025?,Return on Equity (ROE),Return on Equity (ROE),6.0327
How much was the ROE in May 2025?,Return on Equity (ROE),Return on Equity (ROE),5.9554
Can you tell me what was the Return on Capital Employed (ROCE) last year?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),6.4334
I'd like to know the ROCE from the last quarter.,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),6.0136
What was the ROCE total this month?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),6.0377
How much was the ROCE in Q1 2025?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),6.0237
What was the ROCE value in May 2025?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),6.0653
Can you tell me what was the EBITDA Margin last year?,EBITDA Margin,EBITDA Margin,6.1709
I'd like to know the EBITDA Margin from the last quarter.,EBITDA Margin,EBITDA Margin,6.1332
Can you share the EBITDA Margin this month?,EBITDA Margin,EBITDA Margin,6.0821
Can you provide the EBITDA Margin value for Q1 2025?,EBITDA Margin,EBITDA Margin,5.9426
How much was the EBITDA Margin in May 2025?,EBITDA Margin,EBITDA Margin,6.0972
Can you tell me what was the Current Ratio last year?,Current Ratio,Current Ratio,6.2257
How much was the Current Ratio during the last quarter?,Current Ratio,Current Ratio,6.1655
What was the Current Ratio total this month?,Current Ratio,Current Ratio,6.2649
How much was the Current Ratio in Q1 2025?,Current Ratio,Current Ratio,6.2321
What was the Current Ratio value in May 2025?,Current Ratio,Current Ratio,6.1732
Can you tell me what was the Quick Ratio last year?,Quick Ratio (Acid Test),Quick Ratio (Acid Test),6.1137
Tell me the value of Quick Ratio (Acid Test) in the last quarter.,Quick Ratio (Acid Test),Quick Ratio (Acid Test),6.1212
What was the Quick Ratio total this month?,Quick Ratio (Acid Test),Quick Ratio (Acid Test),6.0714
Can you share the Quick Ratio for Q1 2025?,Quick Ratio (Acid Test),Quick Ratio (Acid Test),6.2171
How much was the Quick Ratio in May 2025?,Quick Ratio (Acid Test),Quick Ratio (Acid Test),6.1428
Can you tell me what was the Cash Ratio last year?,Cash Ratio,Cash Ratio,6.105
I'd like to know the Cash Ratio from the last quarter.,Cash Ratio,Cash Ratio,5.9165
What was the Cash Ratio total this month?,Cash Ratio,Cash Ratio,6.1502
Can you provide the Cash Ratio value for Q1 2025?,Cash Ratio,Cash Ratio,5.9598
How much was the Cash Ratio in May 2025?,Cash Ratio,Cash Ratio,5.9311
Can you tell me what was the Inventory Turnover last year?,Inventory Turnover,Inventory Turnover,6.2336
Tell me the value of Inventory Turnover in the last quarter.,Inventory Turnover,Inventory Turnover,5.5754
What was the Inventory Turnover total this month?,Inventory Turnover,Inventory Turnover,6.1852
How much was the Inventory Turnover in Q1 2025?,Inventory Turnover,Inventory Turnover,6.0624
What was the Inventory Turnover value in May 2025?,Inventory Turnover,Inventory Turnover,6.0365
Can you tell me what was the Receivables Turnover last year?,Receivables Turnover,Receivables Turnover,6.1256
I'd like to know the Receivables Turnover from the last quarter.,Receivables Turnover,Receivables Turnover,6.0513
Can you share the Receivables Turnover this month?,Receivables Turnover,Receivables Turnover,6.0953
Can you provide the Receivables Turnover value for Q1 2025?,Receivables Turnover,Receivables Turnover,5.9672
How much was the Receivables Turnover in May 2025?,Receivables Turnover,Receivables Turnover,5.9076
Can you tell me what was the Payables Turnover last year?,Payables Turnover,Payables Turnover,6.2255
Give me the Payables Turnover figure for the last quarter.,Payables Turnover,Payables Turnover,6.2046
What was the Payables Turnover total this month?,Payables Turnover,Payables Turnover,6.2154
How much was the Payables Turnover in Q1 2025?,Payables Turnover,Payables Turnover,6.1304
What was the Payables Turnover value in May 2025?,Payables Turnover,Payables Turnover,6.0427
Can you tell me what was the Asset Turnover last year?,Asset Turnover,Asset Turnover,6.254
How much was the Asset Turnover during the last quarter?,Asset Turnover,Asset Turnover,5.967
What was the Asset Turnover total this month?,Asset Turnover,Asset Turnover,6.1751
Can you share the Asset Turnover for Q1 2025?,Asset Turnover,Asset Turnover,6.2025
How much was the Asset Turnover in May 2025?,Asset Turnover,Asset Turnover,6.0942
Can you tell me what was the Working Capital Turnover last year?,Working Capital Turnover,Working Capital Turnover,5.8476
I'd like to know the Working Capital Turnover from the last quarter.,Working Capital Turnover,Working Capital Turnover,5.7864
Can you provide the Working Capital Turnover value this month?,Working Capital Turnover,Working Capital Turnover,5.8124
How much was the Working Capital Turnover in Q1 2025?,Working Capital Turnover,Working Capital Turnover,5.8218
What was the Working Capital Turnover value in May 2025?,Working Capital Turnover,Working Capital Turnover,5.8009
Can you tell me what was the Debt-to-Equity Ratio last year?,Debt-to-Equity Ratio,Debt-to-Equity Ratio,5.3525
Give me the D/E Ratio figure for the last quarter.,Debt-to-Equity Ratio,Price-to-Earnings (P/E) Ratio,-3.3831
What was the Debt-to-Equity Ratio total this month?,Debt-to-Equity Ratio,Debt-to-Equity Ratio,5.5899
Can you share the Debt-to-Equity Ratio for Q1 2025?,Debt-to-Equity Ratio,Debt-to-Equity Ratio,5.9357
How much was the Debt-to-Equity Ratio in May 2025?,Debt-to-Equity Ratio,Debt-to-Equity Ratio,5.2671
Can you tell me what was the Debt Ratio last year?,Debt Ratio,Debt Ratio,6.2433
How much was the Debt Ratio during the last quarter?,Debt Ratio,Debt Ratio,6.1246
What was the Debt Ratio total this month?,Debt Ratio,Debt Ratio,6.3296
Can you provide the Debt Ratio value for Q1 2025?,Debt Ratio,Debt Ratio,5.8235
How much was the Debt Ratio in May 2025?,Debt Ratio,Debt Ratio,6.1967
Can you tell me what was the Interest Coverage Ratio last year?,Interest Coverage Ratio,Interest Coverage Ratio,6.3729
Give me the Interest Coverage Ratio figure for the last quarter.,Interest Coverage Ratio,Interest Coverage Ratio,6.3932
What was the Interest Coverage Ratio total this month?,Interest Coverage Ratio,Interest Coverage Ratio,6.3956
How much was the Interest Coverage Ratio in Q1 2025?,Interest Coverage Ratio,Interest Coverage Ratio,6.3829
What was the Interest Coverage Ratio value in May 2025?,Interest Coverage Ratio,Interest Coverage Ratio,6.3286
Can you tell me what was the Equity Ratio last year?,Equity Ratio,Equity Ratio,6.3094
Tell me the value of Equity Ratio in the last quarter.,Equity Ratio,Equity Ratio,5.6944
What was the Equity Ratio total this month?,Equity Ratio,Equity Ratio,6.3927
Can you share the Equity Ratio for Q1 2025?,Equity Ratio,Equity Ratio,6.2964
How much was the Equity Ratio in May 2025?,Equity Ratio,Equity Ratio,6.3195
Can you tell me what was the Capital Gearing Ratio last year?,Capital Gearing Ratio,Capital Gearing Ratio,6.3729
Could you share the Capital Gearing Ratio for the last quarter?,Capital Gearing Ratio,Capital Gearing Ratio,6.3816
What was the Capital Gearing Ratio total this month?,Capital Gearing Ratio,Capital Gearing Ratio,6.3711
Can you provide the Capital Gearing Ratio value for Q1 2025?,Capital Gearing Ratio,Capital Gearing Ratio,6.2101
How much was the Capital Gearing Ratio in May 2025?,Capital Gearing Ratio,Capital Gearing Ratio,6.3169
Can you tell me what was the Price-to-Earnings (P/E) Ratio last year?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,6.1596
Can you provide the P/E Ratio amount for the last quarter?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,5.9298
What was the P/E Ratio total this month?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,6.1458
How much was the P/E Ratio in Q1 2025?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,6.1272
What was the P/E Ratio value in May 2025?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,6.0807
Can you tell me what was the P/B Ratio last year?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,6.1551
Tell me the value of Price-to-Book Ratio in the last quarter.,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,5.8023
What was the Price-to-Book Ratio total this month?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,6.0537
Can you share the Price-to-Book Ratio for Q1 2025?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,6.1993
How much was the Price-to-Book Ratio in May 2025?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,6.0031
Can you tell me what was the Dividend Yield last year?,Dividend Yield,Dividend Yield,6.2713
What was the Dividend Yield in the last quarter?,Dividend Yield,Dividend Yield,6.5028
Can you provide the Dividend Yield value this month?,Dividend Yield,Dividend Yield,6.1069
How much was the Dividend Yield in Q1 2025?,Dividend Yield,Dividend Yield,6.3078
What was the Dividend Yield value in May 2025?,Dividend Yield,Dividend Yield,6.2908
Can you tell me what was the Dividend Payout Ratio last year?,Dividend Payout Ratio,Dividend Payout Ratio,6.2936
How much was the Dividend Payout Ratio during the last quarter?,Dividend Payout Ratio,Dividend Payout Ratio,6.0974
What was the Dividend Payout Ratio total this month?,Dividend Payout Ratio,Dividend Payout Ratio,6.3681
Can you share the Dividend Payout Ratio for Q1 2025?,Dividend Payout Ratio,Dividend Payout Ratio,6.3229
How much was the Dividend Payout Ratio in May 2025?,Dividend Payout Ratio,Dividend Payout Ratio,6.1574
Can you tell me what was the Enterprise Value (EV) last year?,Enterprise Value (EV),Enterprise Value (EV),6.3884
How much was the EV during the last quarter?,Enterprise Value (EV),Enterprise Value (EV),5.005
What was the Enterprise Value total this month?,Enterprise Value (EV),Enterprise Value (EV),6.4091
Can you provide the Enterprise Value for Q1 2025?,Enterprise Value (EV),Enterprise Value (EV),6.3299
How much was the Enterprise Value in May 2025?,Enterprise Value (EV),Enterprise Value (EV),6.3302
Can you tell me what was the EV/EBITDA last year?,EV/EBITDA,EV/EBITDA,5.5187
Could you share the EV/EBITDA for the last quarter?,EV/EBITDA,EV/EBITDA,5.639
What was the EV/EBITDA total this month?,EV/EBITDA,EV/EBITDA,5.7014
How much was the EV/EBITDA in Q1 2025?,EV/EBITDA,EV/EBITDA,5.4638
What was the EV/EBITDA value in May 2025?,EV/EBITDA,EV/EBITDA,5.8547
"Can you tell me what was the Property, Plant and Equipment (PPE) last year?","Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",6.4101
Could you share the PPE for the last quarter?,"Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",5.9615
What was the PPE total this month?,"Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",6.0902
Can you provide the PPE value for Q1 2025?,"Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",6.1834
How much was the PPE in May 2025?,"Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",6.1054
Can you tell me what was the Intangible Assets last year?,Intangible Assets,Intangible Assets,5.8958
How much was the Intangible Assets during the last year?,Intangible Assets,Intangible Assets,5.1665
What was the Intangible Assets total this year?,Intangible Assets,Intangible Assets,5.9871
Can you share the Intangible Assets for Q1 2025?,,Intangible Assets,5.9248
",Intangible Assets""",,Intangible Assets,6.6452
"
How much was the Intangible Assets in May? 2025?""",Intangible Assets,Intangible Assets,5.5708
Can you tell me what was the Investment Property last year?,Investment Property,Investment Property,6.1403
How much was the Investment Property during the last year?,Investment Property,Investment Property,6.0944
What was the Investment Property total this year?,Investment Property,Investment Property,6.3097
Can you share the Investment Property for Q1 2025?,Investment Property,Investment Property,6.1201
How much was the Investment Property in May 2025?,Investment Property,Investment Property,6.1989
Can you tell me what was the Financial Assets last year?,Financial Assets,Financial Assets,6.1143
Give me the Financial Assets figure for Q1 2025.,Financial Assets,Financial Assets,6.1159
How much was the Intangible Assets in Q1 2025?,Financial Assets,Intangible Assets,5.5485
Can you share the Financial Assets for Q3 2024?,Financial Assets,Financial Assets,6.236
What was the Financial Assets total this month?,Financial Assets,Financial Assets,6.1963
Can you tell me what was the Inventories last year?,Inventories,Inventories,6.1023
Can you provide the Inventories amount for the last quarter?,Inventories,Inventories,5.8381
What was the Inventories total this month?,Inventories,Inventories,6.1689
How much was the Inventories in Q2 2025?,Inventories,Inventories,6.2297
Could you share the Inventories for Q1 2025?,Inventories,Inventories,6.0776
Can you tell me what was the Deferred Tax Assets last year?,Deferred Tax Assets,Deferred Tax Assets,5.9596
I'd like to know the Deferred Tax Assets from the last quarter.,Deferred Tax Assets,Deferred Tax Assets,5.9401
How much was the Deferred Tax Assets in Q4 2024?,Deferred Tax Assets,Deferred Tax Assets,5.6522
What was the total Deferred Tax Assets this year?,Deferred Tax Assets,Deferred Tax Assets,5.8494
Can you share the Deferred Tax Assets for Q1 2025?,Deferred Tax Assets,Deferred Tax Assets,6.2316
Can you tell me what was the Borrowings last year?,Borrowings,Borrowings,5.8947
How much was the Borrowings during Q1 2025?,Borrowings,Borrowings,5.5087
What was the Borrowings total this month?,Borrowings,Borrowings,5.981
Can you provide the Borrowings amount for the last quarter?,Borrowings,Borrowings,5.0693
Could you share the Borrowings for Q2 2025?,Borrowings,Borrowings,5.8747
Can you tell me what was the Trade Payables last year?,Trade Payables,Trade Payables,6.2874
How much was tha Trade Payables during Q1 2025?,Trade Payables,Trade Payables,5.7377
What was the Trade Payables total this month?,Trade Payables,Trade Payables,6.3549
Can you provide the Trade Payables amount for the last quarter?,Trade Payables,Trade Payables,6.1402
Could you share the Trade Payables for Q2 2025?,Trade Payables,Trade Payables,6.3235
Can you tell me what was the Provisions last year?,Provisions,Provisions,5.9282
How much was the Provisions during Q1?,Provisions,Provisions,5.9279
What was the Provisions total this year?,Provisions,Provisions,5.923
Can you provide the Provisions amount for Q1 2025?,Provisions,Provisions,6.0959
Could you share the Provisions for Q2 2025?,Provisions,Provisions,5.9482
Can you tell me what was the Deferred Tax Liabilities last year?,Deferred Tax Liabilities,Deferred Tax Liabilities,6.0291
How much was the Deferred Tax Liabilities during Q1?,Deferred Tax Liabilities,Deferred Tax Liabilities,5.628
What was the Deferred Tax Liabilities total this year?,Deferred Tax Liabilities,Deferred Tax Liabilities,6.1157
Can you provide the Deferred Tax Liabilities amount for Q1 2025?,Deferred Tax Liabilities,Deferred Tax Liabilities,5.7287
Could you share the Deferred Tax Liabilities for Q2 2025?,Deferred Tax Liabilities,Deferred Tax Liabilities,6.0409
Can you tell me what was the Other Financial Liabilities last year?,Other Financial Liabilities,Other Financial Liabilities,6.3826
How much was the Other Financial Liabilities during Q1 2025?,Other Financial Liabilities,Other Financial Liabilities,6.1996
What was the Other Financial Liabilities total this month?,Other Financial Liabilities,Other Financial Liabilities,6.3939
Can you provide the Other Financial Liabilities value for Q2 2025?,Other Financial Liabilities,Other Financial Liabilities,6.3084
Could you share the Other Financial Liabilities for Q1 2025?,Other Financial Liabilities,Other Financial Liabilities,6.5097
Can you tell me what was the Share Capital last year?,Share Capital,Share Capital,6.1685
How much was the Share Capital during Q1?,Share Capital,Share Capital,6.1083
What was the Share Capital total this year?,Share Capital,Share Capital,6.3537
Can you provide the Share Capital amount for Q1 2025?,Share Capital,Share Capital,6.1609
Could you share the Share Capital for Q2 2025?,Share Capital,Share Capital,6.256
Can you tell me what was the Other Equity last year?,Other Equity / Reserves & Surplus,Other Equity / Reserves & Surplus,6.1496
How much was the Other Equity in Q1 2025?,Other Equity / Reserves & Surplus,Other Equity / Reserves & Surplus,6.1428
What was the total Other Equity this year?,Other Equity / Reserves & Surplus,Other Equity / Reserves & Surplus,6.066
Can you provide the Other Equity value for Q2 2025?,Other Equity / Reserves & Surplus,Other Equity / Reserves & Surplus,6.1307
Could you share the Other Equity for Q1 2025?,Other Equity / Reserves & Surplus,Other Equity / Reserves & Surplus,6.1971
Can yu share what was the Assets last year?,Assets,Assets,3.5094
Gimme the Assets figure for last quater?,Assets,Assets,5.6218
Wat was the Assets this month?,Assets,Assets,5.0514
Can u pls tel me Assets from Q1 2025?,Assets,Assets,5.9656
How much was Assets in May 2025?,Assets,Assets,5.4087
Can u tell me what was the Liabilities last year?,Liabilities,Liabilities,5.2597
Wat was the Liabilities last quater?,Liabilities,Liabilities,5.2797
Can yu share Liabilities for this month?,Liabilities,Liabilities,-1.6118
I wanna know Liabilities in Q1 2025?,Liabilities,Liabilities,4.6938
How much was the Liabilities in May 2025?,Liabilities,Liabilities,5.1028
Can yu share what was the Equity last year?,Equity,Equity,4.0278
Gimme Equity figure for last quater?,Equity,Equity,3.0616
Wat was Equity this month?,Equity,Equity,5.4998
Can u pls tel me Equity from Q1 2025?,Equity,Equity,5.902
How much was Equity in May 2025?,Equity,Equity,5.5572
Can yu share what was the Current Assets last year?,Current Assets,Current Assets,5.6772
Tell me Current Assets last quater?,Current Assets,Current Assets,5.952
Wat was the Current Assets this month?,Current Assets,Current Assets,6.12
Can u tell me Current Assets in Q1 2025?,Current Assets,Current Assets,6.2105
How much was Current Assets in May 2025?,Current Assets,Current Assets,5.9001
What's was the Non-Current Assets last quarter?,Non-Current Assets,Non-Current Assets,6.0509
Can yu share Non-Current Assets last yr?,Non-Current Assets,Non-Current Assets,5.4402
Wat was Non-Current Assets this month?,Non-Current Assets,Non-Current Assets,6.1454
I wanna know Non-Current Assets in Q1 2025?,Non-Current Assets,Non-Current Assets,6.1204
How much was Non-Current Assets in May 2025?,Non-Current Assets,Non-Current Assets,5.6822
Wat was the Current Liabilities last quarter?,Current Liabilities,Current Liabilities,6.0438
Can u tell me Current Liabilities last yr?,Current Liabilities,Current Liabilities,6.0083
Gimme Current Liabilities for this month?,Current Liabilities,Current Liabilities,6.0016
Can yu share Current Liabilities in Q1 2025?,Current Liabilities,Current Liabilities,4.9815
How much was Current Liabilities in May 2025?,Current Liabilities,Current Liabilities,5.663
What's was the Non-Current Liabilities last quarter?,Non-Current Liabilities,Non-Current Liabilities,5.9824
Can u pls tel me Non-Current Liabilities last yr?,Non-Current Liabilities,Non-Current Liabilities,5.9857
Wat was Non-Current Liabilities this month?,Non-Current Liabilities,Non-Current Liabilities,6.0344
Tell me Non-Current Liabilities in Q1 2025?,Non-Current Liabilities,Non-Current Liabilities,5.887
How much was Non-Current Liabilities in May 2025?,Non-Current Liabilities,Non-Current Liabilities,5.3386
Can u tell me what was the Working Capital last year?,Working Capital,Working Capital,5.1594
Gimme Working Capital figure for last quater?,Working Capital,Working Capital,5.3895
Wat was Working Capital this month?,Working Capital,Working Capital,5.0989
Can yu share Working Capital in Q1 2025?,Working Capital,Working Capital,4.8332
How much was Working Capital in May 2025?,Working Capital,Working Capital,5.2267
Give me Net Worth figure for last quater?,Net Worth,Net Worth,5.6937
Can u tell me Net Worth last yr?,Net Worth,Net Worth,5.7209
Wat was the Net Worth this month?,Net Worth,Net Worth,5.6785
I wanna know Net Worth in Q1 2025?,Net Worth,Net Worth,5.9318
How much was Net Worth in May 2025?,Net Worth,Net Worth,5.8851
Can you tell me what is the Revenue last year?,Revenue,Revenue,5.9591
Gimme Revenue figure for last quater?,Revenue,Revenue,5.0644
Wat was Revenue this month?,Revenue,Revenue,5.8052
Can u pls tel me Revenue from Q1 2025?,Revenue,Revenue,6.2085
How much was Revenue in May 2025?,Revenue,Revenue,6.0643
I wanna know the Cost of Goods Sold (COGS) for the last quarter.,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),6.481
Can u tell me COGS last yr?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),5.6912
Wat was the COGS this month?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),5.8981
Tell me COGS in Q1 2025?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),5.95
How much was COGS in May 2025?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),6.0306
Tell me the Gross Profit last yr?,Gross Profit,Gross Profit,6.0359
Gimme Gross Profit for last quater?,Gross Profit,Gross Profit,6.2577
Wat was Gross Profit this month?,Gross Profit,Gross Profit,6.2354
Can yu share Gross Profit in Q1 2025?,Gross Profit,Gross Profit,5.8354
How much was Gross Profit in May 2025?,Gross Profit,Gross Profit,6.1236
I wanna know the Operating Expenses for the last quarter.,Operating Expenses,Operating Expenses,6.0502
Can u tell me Operating Expenses last yr?,Operating Expenses,Operating Expenses,5.8586
Wat was Operating Expenses this month?,Operating Expenses,Operating Expenses,6.0173
Can u pls tel me Operating Expenses in Q1 2025?,Operating Expenses,Operating Expenses,6.3094
How much was Operating Expenses in May 2025?,Operating Expenses,Operating Expenses,6.0476
Give me Operating Profit (EBIT) figure for last quater?,Operating Profit (EBIT),Operating Profit (EBIT),6.2285
Can yu share EBIT last yr?,Operating Profit (EBIT),Operating Profit (EBIT),0.5337
Wat was the Operating Profit this month?,Operating Profit (EBIT),Operating Profit (EBIT),5.9683
