NL_Query,GT_Glossary,Predicted_Glossary,Combined_Score
Can you provide the Gross Profit value for Q1 2025?,Gross Profit,Gross Profit,0.7959
How much was the Gross Profit in May 2025?,Gross Profit,Gross Profit,0.7852
Can you tell me what was the Operating Expenses last year?,Operating Expenses,Operating Expenses,0.8223
I'd like to know the Operating Expenses from the last quarter.,Operating Expenses,Operating Expenses,0.8049
What was the Operating Expenses amount this month?,Operating Expenses,Operating Expenses,0.8495
Can you share the Operating Expenses for Q1 2025?,Operating Expenses,Operating Expenses,0.798
How much were the Operating Expenses in May 2025?,Operating Expenses,Operating Expenses,0.8026
Can you tell me what was the Operating Profit last year?,Operating Profit (EBIT),Operating Profit (EBIT),0.8041
I'd like to know the EBIT from the last quarter.,Operating Profit (EBIT),Operating Profit (EBIT),0.8011
What was the Operating Profit total this month?,Operating Profit (EBIT),Operating Profit (EBIT),0.8119
How much was the Operating Profit in Q1 2025?,Operating Profit (EBIT),Operating Profit (EBIT),0.8022
What was the EBIT value in May 2025?,Operating Profit (EBIT),Operating Profit (EBIT),0.8004
Can you tell me what was the EBITDA last year?,EBITDA,EBITDA,0.8308
"Could you share the Earnings before Interest, Tax, Depreciation, and Amortisation for the last quarter?",EBITDA,EBITDA,0.8389
What was the EBITDA amount this month?,EBITDA,EBITDA,0.8314
Can you provide the EBITDA value for Q1 2025?,EBITDA,EBITDA,0.8138
How much was the EBITDA in May 2025?,EBITDA,EBITDA,0.8005
Can you tell me what was the Net Profit (PAT) last year?,Net Profit (PAT),Net Profit (PAT),0.8401
Can you provide the Net Profit (PAT) amount for the last quarter?,Net Profit (PAT),Net Profit (PAT),0.8402
What was the Net Profit total this month?,Net Profit (PAT),Net Profit (PAT),0.8112
How much was the Net Profit in Q1 2025?,Net Profit (PAT),Net Profit (PAT),0.7842
What was the Net Profit value in May 2025?,Net Profit (PAT),Net Profit (PAT),0.7971
Can you tell me what was the Earnings Per Share (EPS) last year?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.8559
How much was the EPS during the last quarter?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.8143
What was the EPS amount this month?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.8309
Can you share the EPS for Q1 2025?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.7935
How much was the EPS in May 2025?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.7636
Can you tell me what was the Operating Cash Flow last year?,Operating Cash Flow,Operating Cash Flow,0.837
Can you provide the Operating Cash Flow amount for the last quarter?,Operating Cash Flow,Operating Cash Flow,0.8267
What was the Operating Cash Flow total this month?,Operating Cash Flow,Operating Cash Flow,0.8435
How much was the Operating Cash Flow in Q1 2025?,Operating Cash Flow,Operating Cash Flow,0.8293
What was the Operating Cash Flow value in May 2025?,Operating Cash Flow,Operating Cash Flow,0.8174
Can you tell me what was the Investing Cash Flow last year?,Investing Cash Flow,Investing Cash Flow,0.8485
Can you provide the Investing Cash Flow amount for the last quarter?,Investing Cash Flow,Investing Cash Flow,0.84
What was the Investing Cash Flow total this month?,Investing Cash Flow,Investing Cash Flow,0.8471
Could you share the Investing Cash Flow for Q1 2025?,Investing Cash Flow,Investing Cash Flow,0.8253
How much was the Investing Cash Flow in May 2025?,Investing Cash Flow,Investing Cash Flow,0.8208
Can you tell me what was the Financing Cash Flow last year?,Financing Cash Flow,Financing Cash Flow,0.8479
Can you provide the Financing Cash Flow amount for the last quarter?,Financing Cash Flow,Financing Cash Flow,0.8415
What was the Financing Cash Flow total this month?,Financing Cash Flow,Financing Cash Flow,0.843
How much was the Financing Cash Flow in Q1 2025?,Financing Cash Flow,Financing Cash Flow,0.823
What was the Financing Cash Flow value in May 2025?,Financing Cash Flow,Financing Cash Flow,0.8302
Can you tell me what was the Free Cash Flow last year?,Free Cash Flow,Free Cash Flow,0.8155
Tell me the value of Free Cash Flow in the last quarter.,Free Cash Flow,Free Cash Flow,0.8206
What was the Free Cash Flow amount this month?,Free Cash Flow,Free Cash Flow,0.8298
Can you share the Free Cash Flow for Q1 2025?,Free Cash Flow,Free Cash Flow,0.8122
How much was the Free Cash Flow in May 2025?,Free Cash Flow,Free Cash Flow,0.8104
Can you tell me what was the Depreciation last year?,Depreciation,Depreciation,0.8386
Can you provide the Depreciation amount for the last quarter?,Depreciation,Depreciation,0.8212
What was the Depreciation total this month?,Depreciation,Depreciation,0.8228
How much was the Depreciation in Q1 2025?,Depreciation,Depreciation,0.8044
What was the Depreciation value in May 2025?,Depreciation,Depreciation,0.7984
Can you tell me what was the Amortization last year?,Amortization,Amortization,0.8112
Tell me the value of Amortization in the last quarter.,Amortization,Amortization,0.7988
What was the Amortization amount this month?,Amortization,Amortization,0.7994
Could you share the Amortization for Q1 2025?,Amortization,Amortization,0.7987
How much was the Amortization in May 2025?,Amortization,Amortization,0.7776
Can you tell me what was the Accruals last year?,Accruals,Accruals,0.7976
Could you share the Accruals for the last quarter?,Accruals,Accruals,0.801
What was the Accruals total this month?,Accruals,Accruals,0.8094
Can you provide the Accruals value for Q1 2025?,Accruals,Accruals,0.8099
How much were the Accruals in May 2025?,Accruals,Accruals,0.788
Can you tell me what was the Provisions last year?,Provisions,Provisions,0.7985
Tell me the value of Provisions in the last quarter.,Provisions,Provisions,0.8051
What was the Provisions amount this month?,Provisions,Provisions,0.8057
How much were the Provisions in Q1 2025?,Provisions,Provisions,0.8068
What was the Provisions value in May 2025?,Provisions,Provisions,0.8121
Can you tell me what was the Contingent Liabilities last year?,Contingent Liabilities,Contingent Liabilities,0.8471
I'd like to know the Contingent Liabilities from the last quarter.,Contingent Liabilities,Contingent Liabilities,0.8378
What was the Contingent Liabilities total this month?,Contingent Liabilities,Contingent Liabilities,0.8374
Can you share the Contingent Liabilities for Q1 2025?,Contingent Liabilities,Contingent Liabilities,0.8455
How much were the Contingent Liabilities in May 2025?,Contingent Liabilities,Contingent Liabilities,0.8336
Can you tell me what was the Net Profit Margin last year?,Net Profit Margin,Net Profit Margin,0.841
I'd like to know the Net Profit Margin from the last quarter.,Net Profit Margin,Net Profit Margin,0.8408
What was the Net Profit Margin total this month?,Net Profit Margin,Net Profit Margin,0.8488
Can you provide the Net Profit Margin value for Q1 2025?,Net Profit Margin,Net Profit Margin,0.8303
How much was the Net Profit Margin in May 2025?,Net Profit Margin,Net Profit Margin,0.8219
Can you tell me what was the Return on Assets (ROA) last year?,Return on Assets (ROA),Return on Assets (ROA),0.8581
What was the ROA in the last quarter?,Return on Assets (ROA),Return on Assets (ROA),0.8243
Can you share the ROA total this month?,Return on Assets (ROA),Return on Assets (ROA),0.788
How much was the ROA in Q1 2025?,Return on Assets (ROA),Return on Assets (ROA),0.8032
What was the ROA value in May 2025?,Return on Assets (ROA),Return on Assets (ROA),0.7861
Can you tell me what was the Return on Equity (ROE) last year?,Return on Equity (ROE),Return on Equity (ROE),0.8618
Give me the ROE figure for the last quarter.,Return on Equity (ROE),Return on Equity (ROE),0.8158
What was the ROE total this month?,Return on Equity (ROE),Return on Equity (ROE),0.8214
Can you provide the ROE value for Q1 2025?,Return on Equity (ROE),Return on Equity (ROE),0.8142
How much was the ROE in May 2025?,Return on Equity (ROE),Return on Equity (ROE),0.7799
Can you tell me what was the Return on Capital Employed (ROCE) last year?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),0.8839
I'd like to know the ROCE from the last quarter.,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),0.7643
What was the ROCE total this month?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),0.7886
How much was the ROCE in Q1 2025?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),0.8228
What was the ROCE value in May 2025?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),0.7774
Can you tell me what was the EBITDA Margin last year?,EBITDA Margin,EBITDA Margin,0.835
I'd like to know the EBITDA Margin from the last quarter.,EBITDA Margin,EBITDA Margin,0.8255
Can you share the EBITDA Margin this month?,EBITDA Margin,EBITDA Margin,0.825
Can you provide the EBITDA Margin value for Q1 2025?,EBITDA Margin,EBITDA Margin,0.827
How much was the EBITDA Margin in May 2025?,EBITDA Margin,EBITDA Margin,0.8122
Can you tell me what was the Current Ratio last year?,Current Ratio,Current Ratio,0.8124
How much was the Current Ratio during the last quarter?,Current Ratio,Current Ratio,0.8421
What was the Current Ratio total this month?,Current Ratio,Current Ratio,0.8261
How much was the Current Ratio in Q1 2025?,Current Ratio,Current Ratio,0.8148
What was the Current Ratio value in May 2025?,Current Ratio,Current Ratio,0.7961
Can you tell me what was the Quick Ratio last year?,Quick Ratio (Acid Test),Quick Ratio (Acid Test),0.7808
Tell me the value of Quick Ratio (Acid Test) in the last quarter.,Quick Ratio (Acid Test),Quick Ratio (Acid Test),0.8464
What was the Quick Ratio total this month?,Quick Ratio (Acid Test),Quick Ratio (Acid Test),0.8067
Can you share the Quick Ratio for Q1 2025?,Quick Ratio (Acid Test),Quick Ratio (Acid Test),0.7802
How much was the Quick Ratio in May 2025?,Quick Ratio (Acid Test),Quick Ratio (Acid Test),0.7699
Can you tell me what was the Cash Ratio last year?,Cash Ratio,Cash Ratio,0.805
I'd like to know the Cash Ratio from the last quarter.,Cash Ratio,Cash Ratio,0.8125
What was the Cash Ratio total this month?,Cash Ratio,Cash Ratio,0.8072
Can you provide the Cash Ratio value for Q1 2025?,Cash Ratio,Cash Ratio,0.7891
How much was the Cash Ratio in May 2025?,Cash Ratio,Cash Ratio,0.798
Can you tell me what was the Inventory Turnover last year?,Inventory Turnover,Inventory Turnover,0.8474
Tell me the value of Inventory Turnover in the last quarter.,Inventory Turnover,Inventory Turnover,0.8424
What was the Inventory Turnover total this month?,Inventory Turnover,Inventory Turnover,0.8496
How much was the Inventory Turnover in Q1 2025?,Inventory Turnover,Inventory Turnover,0.8388
What was the Inventory Turnover value in May 2025?,Inventory Turnover,Inventory Turnover,0.8304
Can you tell me what was the Receivables Turnover last year?,Receivables Turnover,Receivables Turnover,0.8529
I'd like to know the Receivables Turnover from the last quarter.,Receivables Turnover,Receivables Turnover,0.8385
Can you share the Receivables Turnover this month?,Receivables Turnover,Receivables Turnover,0.8422
Can you provide the Receivables Turnover value for Q1 2025?,Receivables Turnover,Receivables Turnover,0.8282
How much was the Receivables Turnover in May 2025?,Receivables Turnover,Receivables Turnover,0.8184
Can you tell me what was the Payables Turnover last year?,Payables Turnover,Payables Turnover,0.8527
Give me the Payables Turnover figure for the last quarter.,Payables Turnover,Payables Turnover,0.8438
What was the Payables Turnover total this month?,Payables Turnover,Payables Turnover,0.8611
How much was the Payables Turnover in Q1 2025?,Payables Turnover,Payables Turnover,0.8406
What was the Payables Turnover value in May 2025?,Payables Turnover,Payables Turnover,0.8246
Can you tell me what was the Asset Turnover last year?,Asset Turnover,Asset Turnover,0.8601
How much was the Asset Turnover during the last quarter?,Asset Turnover,Asset Turnover,0.8633
What was the Asset Turnover total this month?,Asset Turnover,Asset Turnover,0.8555
Can you share the Asset Turnover for Q1 2025?,Asset Turnover,Asset Turnover,0.8225
How much was the Asset Turnover in May 2025?,Asset Turnover,Asset Turnover,0.8234
Can you tell me what was the Working Capital Turnover last year?,Working Capital Turnover,Working Capital Turnover,0.86
I'd like to know the Working Capital Turnover from the last quarter.,Working Capital Turnover,Working Capital Turnover,0.8471
Can you provide the Working Capital Turnover value this month?,Working Capital Turnover,Working Capital Turnover,0.8459
How much was the Working Capital Turnover in Q1 2025?,Working Capital Turnover,Working Capital Turnover,0.8543
What was the Working Capital Turnover value in May 2025?,Working Capital Turnover,Working Capital Turnover,0.8358
Can you tell me what was the Debt-to-Equity Ratio last year?,Debt-to-Equity Ratio,Debt-to-Equity Ratio,0.8372
Give me the D/E Ratio figure for the last quarter.,Debt-to-Equity Ratio,EV/EBITDA,0.2935
What was the Debt-to-Equity Ratio total this month?,Debt-to-Equity Ratio,Debt-to-Equity Ratio,0.8385
Can you share the Debt-to-Equity Ratio for Q1 2025?,Debt-to-Equity Ratio,Debt-to-Equity Ratio,0.8287
How much was the Debt-to-Equity Ratio in May 2025?,Debt-to-Equity Ratio,Debt-to-Equity Ratio,0.8248
Can you tell me what was the Debt Ratio last year?,Debt Ratio,Debt Ratio,0.8375
How much was the Debt Ratio during the last quarter?,Debt Ratio,Debt Ratio,0.8491
What was the Debt Ratio total this month?,Debt Ratio,Debt Ratio,0.8478
Can you provide the Debt Ratio value for Q1 2025?,Debt Ratio,Debt Ratio,0.8204
How much was the Debt Ratio in May 2025?,Debt Ratio,Debt Ratio,0.8194
Can you tell me what was the Interest Coverage Ratio last year?,Interest Coverage Ratio,Interest Coverage Ratio,0.8418
Give me the Interest Coverage Ratio figure for the last quarter.,Interest Coverage Ratio,Interest Coverage Ratio,0.8346
What was the Interest Coverage Ratio total this month?,Interest Coverage Ratio,Interest Coverage Ratio,0.8456
How much was the Interest Coverage Ratio in Q1 2025?,Interest Coverage Ratio,Interest Coverage Ratio,0.831
What was the Interest Coverage Ratio value in May 2025?,Interest Coverage Ratio,Interest Coverage Ratio,0.8232
Can you tell me what was the Equity Ratio last year?,Equity Ratio,Equity Ratio,0.8206
Tell me the value of Equity Ratio in the last quarter.,Equity Ratio,Equity Ratio,0.8246
What was the Equity Ratio total this month?,Equity Ratio,Equity Ratio,0.8414
Can you share the Equity Ratio for Q1 2025?,Equity Ratio,Equity Ratio,0.8163
How much was the Equity Ratio in May 2025?,Equity Ratio,Equity Ratio,0.8009
Can you tell me what was the Capital Gearing Ratio last year?,Capital Gearing Ratio,Capital Gearing Ratio,0.8558
Could you share the Capital Gearing Ratio for the last quarter?,Capital Gearing Ratio,Capital Gearing Ratio,0.8529
What was the Capital Gearing Ratio total this month?,Capital Gearing Ratio,Capital Gearing Ratio,0.8607
Can you provide the Capital Gearing Ratio value for Q1 2025?,Capital Gearing Ratio,Capital Gearing Ratio,0.8355
How much was the Capital Gearing Ratio in May 2025?,Capital Gearing Ratio,Capital Gearing Ratio,0.841
Can you tell me what was the Price-to-Earnings (P/E) Ratio last year?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,0.8513
Can you provide the P/E Ratio amount for the last quarter?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,0.8135
What was the P/E Ratio total this month?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,0.8366
How much was the P/E Ratio in Q1 2025?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,0.8189
What was the P/E Ratio value in May 2025?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,0.8117
Can you tell me what was the P/B Ratio last year?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,0.8209
Tell me the value of Price-to-Book Ratio in the last quarter.,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,0.8306
What was the Price-to-Book Ratio total this month?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,0.836
Can you share the Price-to-Book Ratio for Q1 2025?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,0.828
How much was the Price-to-Book Ratio in May 2025?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,0.8189
Can you tell me what was the Dividend Yield last year?,Dividend Yield,Dividend Yield,0.8446
What was the Dividend Yield in the last quarter?,Dividend Yield,Dividend Yield,0.8458
Can you provide the Dividend Yield value this month?,Dividend Yield,Dividend Yield,0.8422
How much was the Dividend Yield in Q1 2025?,Dividend Yield,Dividend Yield,0.8155
What was the Dividend Yield value in May 2025?,Dividend Yield,Dividend Yield,0.8242
Can you tell me what was the Dividend Payout Ratio last year?,Dividend Payout Ratio,Dividend Payout Ratio,0.8667
How much was the Dividend Payout Ratio during the last quarter?,Dividend Payout Ratio,Dividend Payout Ratio,0.8714
What was the Dividend Payout Ratio total this month?,Dividend Payout Ratio,Dividend Payout Ratio,0.8737
Can you share the Dividend Payout Ratio for Q1 2025?,Dividend Payout Ratio,Dividend Payout Ratio,0.8528
How much was the Dividend Payout Ratio in May 2025?,Dividend Payout Ratio,Dividend Payout Ratio,0.8341
Can you tell me what was the Enterprise Value (EV) last year?,Enterprise Value (EV),Enterprise Value (EV),0.8781
How much was the EV during the last quarter?,Enterprise Value (EV),Enterprise Value (EV),0.8287
What was the Enterprise Value total this month?,Enterprise Value (EV),Enterprise Value (EV),0.8528
Can you provide the Enterprise Value for Q1 2025?,Enterprise Value (EV),Enterprise Value (EV),0.8095
How much was the Enterprise Value in May 2025?,Enterprise Value (EV),Enterprise Value (EV),0.8029
Can you tell me what was the EV/EBITDA last year?,EV/EBITDA,EV/EBITDA,0.8621
Could you share the EV/EBITDA for the last quarter?,EV/EBITDA,EV/EBITDA,0.8569
What was the EV/EBITDA total this month?,EV/EBITDA,EV/EBITDA,0.8663
How much was the EV/EBITDA in Q1 2025?,EV/EBITDA,EV/EBITDA,0.8586
What was the EV/EBITDA value in May 2025?,EV/EBITDA,EV/EBITDA,0.8644
"Can you tell me what was the Property, Plant and Equipment (PPE) last year?","Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",0.8558
Could you share the PPE for the last quarter?,"Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",0.7983
What was the PPE total this month?,"Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",0.7938
Can you provide the PPE value for Q1 2025?,"Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",0.7885
How much was the PPE in May 2025?,"Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",0.7576
Can you tell me what was the Intangible Assets last year?,Intangible Assets,Intangible Assets,0.8477
How much was the Intangible Assets during the last year?,Intangible Assets,Intangible Assets,0.8272
What was the Intangible Assets total this year?,Intangible Assets,Intangible Assets,0.8388
Can you share the Intangible Assets for Q1 2025?,,Intangible Assets,0.814
",Intangible Assets""",,Intangible Assets,0.8961
"
How much was the Intangible Assets in May? 2025?""",Intangible Assets,Intangible Assets,0.8261
Can you tell me what was the Investment Property last year?,Investment Property,Investment Property,0.8461
How much was the Investment Property during the last year?,Investment Property,Investment Property,0.8448
What was the Investment Property total this year?,Investment Property,Investment Property,0.838
Can you share the Investment Property for Q1 2025?,Investment Property,Investment Property,0.8271
How much was the Investment Property in May 2025?,Investment Property,Investment Property,0.8106
Can you tell me what was the Financial Assets last year?,Financial Assets,Financial Assets,0.8384
Give me the Financial Assets figure for Q1 2025.,Financial Assets,Financial Assets,0.8114
How much was the Intangible Assets in Q1 2025?,Financial Assets,Intangible Assets,0.8183
Can you share the Financial Assets for Q3 2024?,Financial Assets,Financial Assets,0.8049
What was the Financial Assets total this month?,Financial Assets,Financial Assets,0.8399
Can you tell me what was the Inventories last year?,Inventories,Inventories,0.8164
Can you provide the Inventories amount for the last quarter?,Inventories,Inventories,0.8175
What was the Inventories total this month?,Inventories,Inventories,0.8102
How much was the Inventories in Q2 2025?,Inventories,Inventories,0.7988
Could you share the Inventories for Q1 2025?,Inventories,Inventories,0.8076
Can you tell me what was the Deferred Tax Assets last year?,Deferred Tax Assets,Deferred Tax Assets,0.8689
I'd like to know the Deferred Tax Assets from the last quarter.,Deferred Tax Assets,Deferred Tax Assets,0.8503
How much was the Deferred Tax Assets in Q4 2024?,Deferred Tax Assets,Deferred Tax Assets,0.8521
What was the total Deferred Tax Assets this year?,Deferred Tax Assets,Deferred Tax Assets,0.8622
Can you share the Deferred Tax Assets for Q1 2025?,Deferred Tax Assets,Deferred Tax Assets,0.8734
Can you tell me what was the Borrowings last year?,Borrowings,Borrowings,0.8226
How much was the Borrowings during Q1 2025?,Borrowings,Borrowings,0.7865
What was the Borrowings total this month?,Borrowings,Borrowings,0.8142
Can you provide the Borrowings amount for the last quarter?,Borrowings,Borrowings,0.8108
Could you share the Borrowings for Q2 2025?,Borrowings,Borrowings,0.7956
Can you tell me what was the Trade Payables last year?,Trade Payables,Trade Payables,0.8471
How much was tha Trade Payables during Q1 2025?,Trade Payables,Trade Payables,0.8152
What was the Trade Payables total this month?,Trade Payables,Trade Payables,0.8487
Can you provide the Trade Payables amount for the last quarter?,Trade Payables,Trade Payables,0.8335
Could you share the Trade Payables for Q2 2025?,Trade Payables,Trade Payables,0.8178
Can you tell me what was the Provisions last year?,Provisions,Provisions,0.7985
How much was the Provisions during Q1?,Provisions,Provisions,0.8079
What was the Provisions total this year?,Provisions,Provisions,0.8074
Can you provide the Provisions amount for Q1 2025?,Provisions,Provisions,0.8271
Could you share the Provisions for Q2 2025?,Provisions,Provisions,0.8066
Can you tell me what was the Deferred Tax Liabilities last year?,Deferred Tax Liabilities,Deferred Tax Liabilities,0.8721
How much was the Deferred Tax Liabilities during Q1?,Deferred Tax Liabilities,Deferred Tax Liabilities,0.8596
What was the Deferred Tax Liabilities total this year?,Deferred Tax Liabilities,Deferred Tax Liabilities,0.8679
Can you provide the Deferred Tax Liabilities amount for Q1 2025?,Deferred Tax Liabilities,Deferred Tax Liabilities,0.8524
Could you share the Deferred Tax Liabilities for Q2 2025?,Deferred Tax Liabilities,Deferred Tax Liabilities,0.8575
Can you tell me what was the Other Financial Liabilities last year?,Other Financial Liabilities,Other Financial Liabilities,0.852
How much was the Other Financial Liabilities during Q1 2025?,Other Financial Liabilities,Other Financial Liabilities,0.8337
What was the Other Financial Liabilities total this month?,Other Financial Liabilities,Other Financial Liabilities,0.8502
Can you provide the Other Financial Liabilities value for Q2 2025?,Other Financial Liabilities,Other Financial Liabilities,0.8349
Could you share the Other Financial Liabilities for Q1 2025?,Other Financial Liabilities,Other Financial Liabilities,0.8344
Can you tell me what was the Share Capital last year?,Share Capital,Share Capital,0.8267
How much was the Share Capital during Q1?,Share Capital,Share Capital,0.834
What was the Share Capital total this year?,Share Capital,Share Capital,0.8287
Can you provide the Share Capital amount for Q1 2025?,Share Capital,Share Capital,0.8157
Could you share the Share Capital for Q2 2025?,Share Capital,Share Capital,0.8107
Can you tell me what was the Other Equity last year?,Other Equity / Reserves & Surplus,Other Equity / Reserves & Surplus,0.7999
How much was the Other Equity in Q1 2025?,Other Equity / Reserves & Surplus,Other Equity / Reserves & Surplus,0.7963
What was the total Other Equity this year?,Other Equity / Reserves & Surplus,Other Equity / Reserves & Surplus,0.8298
Can you provide the Other Equity value for Q2 2025?,Other Equity / Reserves & Surplus,Other Equity / Reserves & Surplus,0.8006
Could you share the Other Equity for Q1 2025?,Other Equity / Reserves & Surplus,Other Equity / Reserves & Surplus,0.797
Can yu share what was the Assets last year?,Assets,Assets,0.8075
Gimme the Assets figure for last quater?,Assets,Assets,0.8104
Wat was the Assets this month?,Assets,Assets,0.8328
Can u pls tel me Assets from Q1 2025?,Assets,Assets,0.7994
How much was Assets in May 2025?,Assets,Assets,0.7916
Can u tell me what was the Liabilities last year?,Liabilities,Liabilities,0.8301
Wat was the Liabilities last quater?,Liabilities,Liabilities,0.8495
Can yu share Liabilities for this month?,Liabilities,Liabilities,0.7918
I wanna know Liabilities in Q1 2025?,Liabilities,Liabilities,0.8058
How much was the Liabilities in May 2025?,Liabilities,Liabilities,0.7918
Can yu share what was the Equity last year?,Equity,Equity,0.8188
Gimme Equity figure for last quater?,Equity,Equity,0.8135
Wat was Equity this month?,Equity,Equity,0.8274
Can u pls tel me Equity from Q1 2025?,Equity,Equity,0.801
How much was Equity in May 2025?,Equity,Equity,0.7824
Can yu share what was the Current Assets last year?,Current Assets,Current Assets,0.8428
Tell me Current Assets last quater?,Current Assets,Current Assets,0.8453
Wat was the Current Assets this month?,Current Assets,Current Assets,0.8348
Can u tell me Current Assets in Q1 2025?,Current Assets,Current Assets,0.8551
How much was Current Assets in May 2025?,Current Assets,Current Assets,0.841
What's was the Non-Current Assets last quarter?,Non-Current Assets,Non-Current Assets,0.8396
Can yu share Non-Current Assets last yr?,Non-Current Assets,Non-Current Assets,0.8531
Wat was Non-Current Assets this month?,Non-Current Assets,Non-Current Assets,0.8334
I wanna know Non-Current Assets in Q1 2025?,Non-Current Assets,Non-Current Assets,0.8368
How much was Non-Current Assets in May 2025?,Non-Current Assets,Non-Current Assets,0.8251
Wat was the Current Liabilities last quarter?,Current Liabilities,Current Liabilities,0.8538
Can u tell me Current Liabilities last yr?,Current Liabilities,Current Liabilities,0.8818
Gimme Current Liabilities for this month?,Current Liabilities,Current Liabilities,0.8485
Can yu share Current Liabilities in Q1 2025?,Current Liabilities,Current Liabilities,0.834
How much was Current Liabilities in May 2025?,Current Liabilities,Current Liabilities,0.8402
What's was the Non-Current Liabilities last quarter?,Non-Current Liabilities,Non-Current Liabilities,0.8509
Can u pls tel me Non-Current Liabilities last yr?,Non-Current Liabilities,Non-Current Liabilities,0.849
Wat was Non-Current Liabilities this month?,Non-Current Liabilities,Non-Current Liabilities,0.8492
Tell me Non-Current Liabilities in Q1 2025?,Non-Current Liabilities,Non-Current Liabilities,0.8303
How much was Non-Current Liabilities in May 2025?,Non-Current Liabilities,Non-Current Liabilities,0.8294
Can u tell me what was the Working Capital last year?,Working Capital,Working Capital,0.8404
Gimme Working Capital figure for last quater?,Working Capital,Working Capital,0.8382
Wat was Working Capital this month?,Working Capital,Working Capital,0.8446
Can yu share Working Capital in Q1 2025?,Working Capital,Working Capital,0.8045
How much was Working Capital in May 2025?,Working Capital,Working Capital,0.8195
Give me Net Worth figure for last quater?,Net Worth,Net Worth,0.8089
Can u tell me Net Worth last yr?,Net Worth,Net Worth,0.8026
Wat was the Net Worth this month?,Net Worth,Net Worth,0.8164
I wanna know Net Worth in Q1 2025?,Net Worth,Net Worth,0.795
How much was Net Worth in May 2025?,Net Worth,Net Worth,0.7866
Can you tell me what is the Revenue last year?,Revenue,Revenue,0.8165
Gimme Revenue figure for last quater?,Revenue,Revenue,0.8011
Wat was Revenue this month?,Revenue,Revenue,0.8278
Can u pls tel me Revenue from Q1 2025?,Revenue,Revenue,0.7721
How much was Revenue in May 2025?,Revenue,Revenue,0.7843
I wanna know the Cost of Goods Sold (COGS) for the last quarter.,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),0.845
Can u tell me COGS last yr?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),0.7824
Wat was the COGS this month?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),0.787
Tell me COGS in Q1 2025?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),0.767
How much was COGS in May 2025?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),0.8068
Tell me the Gross Profit last yr?,Gross Profit,Gross Profit,0.817
Gimme Gross Profit for last quater?,Gross Profit,Gross Profit,0.8254
Wat was Gross Profit this month?,Gross Profit,Gross Profit,0.8338
Can yu share Gross Profit in Q1 2025?,Gross Profit,Gross Profit,0.7879
How much was Gross Profit in May 2025?,Gross Profit,Gross Profit,0.7866
I wanna know the Operating Expenses for the last quarter.,Operating Expenses,Operating Expenses,0.812
Can u tell me Operating Expenses last yr?,Operating Expenses,Operating Expenses,0.8214
Wat was Operating Expenses this month?,Operating Expenses,Operating Expenses,0.8548
Can u pls tel me Operating Expenses in Q1 2025?,Operating Expenses,Operating Expenses,0.8092
How much was Operating Expenses in May 2025?,Operating Expenses,Operating Expenses,0.8101
Give me Operating Profit (EBIT) figure for last quater?,Operating Profit (EBIT),Operating Profit (EBIT),0.8439
Can yu share EBIT last yr?,Operating Profit (EBIT),Operating Profit (EBIT),0.8108
Wat was the Operating Profit this month?,Operating Profit (EBIT),Operating Profit (EBIT),0.8072
Tell me EBIT in Q1 2025?,Operating Profit (EBIT),Operating Profit (EBIT),0.8097
How much was Operating Profit in May 2025?,Operating Profit (EBIT),Operating Profit (EBIT),0.7872
What's was the EBITDA last quarter?,EBITDA,EBITDA,0.8353
Can u tell me EBITDA last yr?,EBITDA,EBITDA,0.8101
Wat was EBITDA this month?,EBITDA,EBITDA,0.8326
