NL_Query,period_id,period_view,predicted_period_id,gt_year,predicted_year,gt_nature,predicted_nature,gt_view,predicted_view,gt_sequence,predicted_sequence
Can you share the Net Worth so far for November 2017?,2017_M_PRD_11,PRD,2017_M_PRD_0,2017,2017,M,M,PRD,PRD,11,0
I want to know the Operating Cash Flow as of for September 2011.,2011_M_PRD_9,PRD,2011_M_PRD_0,2011,2011,M,M,PRD,PRD,9,0
Could you tell me the Revenue as of for FY 2025?,2025_FY_PRD_1,PRD,2025_FY_PRD_1,2025,2025,FY,FY,PRD,PRD,1,1
Can you share the Working Capital year to date for First half 2018?,2018_FH_PRD_1,PRD,2018_FH_PRD_1,2018,2018,FH,FH,PRD,PRD,1,1
Please give me the Investing Cash Flow as of for March 2022.,2022_M_PRD_3,PRD,2022_M_PRD_0,2022,2022,M,M,PRD,PRD,3,0
What was the EBITDA as of for Q3 2015?,2015_FQ_PRD_3,PRD,2015_FQ_PRD_3,2015,2015,FQ,FQ,PRD,PRD,3,3
What was the Non-Current Liabilities so far for Q3 2013?,2013_FQ_PRD_3,PRD,2013_FQ_PRD_3,2013,2013,FQ,FQ,PRD,PRD,3,3
Could you tell me the Current Assets year to date for First half 2014?,2014_FH_PRD_1,PRD,2014_FH_PRD_1,2014,2014,FH,FH,PRD,PRD,1,1
What was the Revenue so far for FY 2024?,2024_FY_PRD_1,PRD,2024_FY_PRD_1,2024,2024,FY,FY,PRD,PRD,1,1
I want to know the Gross Profit as of for June 2025.,2025_M_PRD_6,PRD,2025_M_PRD_0,2025,2025,M,M,PRD,PRD,6,0
Can you share the Net Profit to date for FY 2025?,2025_FY_PRD_1,PRD,2025_FY_PRD_1,2025,2025,FY,FY,PRD,PRD,1,1
What was the Current Liabilities for the period for June 2015?,2015_M_FTP_6,FTP,2015_M_PRD_0,2015,2015,M,M,FTP,PRD,6,0
I want to know the Investing Cash Flow cumulative through for June 2024.,2024_M_PRD_6,PRD,2024_M_PRD_0,2024,2024,M,M,PRD,PRD,6,0
Can you share the Net Worth  for June 2015?,2015_M_FTP_6,FTP,2015_M_PRD_0,2015,2015,M,M,FTP,PRD,6,0
What was the Operating Expenses to date for June 2015?,2015_M_PRD_6,PRD,2015_M_PRD_0,2015,2015,M,M,PRD,PRD,6,0
I want to know the EBITDA up to for May 2022.,2022_M_PRD_5,PRD,2022_M_PRD_0,2022,2022,M,M,PRD,PRD,5,0
I want to know the Investing Cash Flow cumulative through for FY 2023.,2023_FY_PRD_1,PRD,2023_FY_PRD_1,2023,2023,FY,FY,PRD,PRD,1,1
Can you share the EPS up to for First half 2016?,2016_FH_PRD_1,PRD,2016_FH_PRD_1,2016,2016,FH,FH,PRD,PRD,1,1
What was the Assets  for First half 2023?,2023_FH_FTP_1,FTP,2023_FH_PRD_1,2023,2023,FH,FH,FTP,PRD,1,1
What was the Operating Cash Flow  for FY 2014?,2014_FY_FTP_1,FTP,2014_FY_PRD_1,2014,2014,FY,FY,FTP,PRD,1,1
Could you tell me the Operating Expenses to date for October 2015?,2015_M_PRD_10,PRD,2015_M_PRD_0,2015,2015,M,M,PRD,PRD,10,0
Please give me the Operating Expenses  for Q1 2021.,2021_FQ_FTP_1,FTP,2021_FQ_PRD_1,2021,2021,FQ,FQ,FTP,PRD,1,1
Please give me the Depreciation cumulative through for February 2016.,2016_M_PRD_2,PRD,2016_M_FTP_0,2016,2016,M,M,PRD,FTP,2,0
What was the Amortization so far for January 2019?,2019_M_PRD_1,PRD,2019_M_PRD_0,2019,2019,M,M,PRD,PRD,1,0
Please give me the Current Liabilities  for First half 2017.,2017_FH_FTP_1,FTP,2017_FH_PRD_1,2017,2017,FH,FH,FTP,PRD,1,1
Please give me the Free Cash Flow  for Q4 2016.,2016_FQ_FTP_4,FTP,2016_FQ_FTP_4,2016,2016,FQ,FQ,FTP,FTP,4,4
Please give me the Net Worth to date for FY 2013.,2013_FY_PRD_1,PRD,2013_FY_PRD_1,2013,2013,FY,FY,PRD,PRD,1,1
Can you share the Non-Current Assets for the period for Q3 2011?,2011_FQ_FTP_3,FTP,2011_FQ_PRD_3,2011,2011,FQ,FQ,FTP,PRD,3,3
Please give me the EBITDA year to date for Q4 2018.,2018_FQ_PRD_4,PRD,2018_FQ_PRD_4,2018,2018,FQ,FQ,PRD,PRD,4,4
Please give me the Net Worth for the period for Second half 2020.,2020_FH_FTP_2,FTP,2020_FH_FTP_2,2020,2020,FH,FH,FTP,FTP,2,2
