NL_Query,period_id,period_view,gt_year,gt_nature,gt_view,gt_sequence,predicted_view,predicted_year,predicted_nature,predicted_sequence,predicted_period_id
Can you share the Net Worth so far for November 2017?,2017_M_PRD_11,PRD,2017,M,PRD,11,PRD,2017,M,0,2017_M_PRD_0
I want to know the Operating Cash Flow as of for September 2011.,2011_M_PRD_9,PRD,2011,M,PRD,9,PRD,2011,M,0,2011_M_PRD_0
Could you tell me the Revenue as of for FY 2025?,2025_FY_PRD_1,PRD,2025,FY,PRD,1,PRD,2025,FY,1,2025_FY_PRD_1
Can you share the Working Capital year to date for First half 2018?,2018_FH_PRD_1,PRD,2018,FH,PRD,1,PRD,2018,FH,1,2018_FH_PRD_1
Please give me the Investing Cash Flow as of for March 2022.,2022_M_PRD_3,PRD,2022,M,PRD,3,PRD,2022,M,0,2022_M_PRD_0
What was the EBITDA as of for Q3 2015?,2015_FQ_PRD_3,PRD,2015,FQ,PRD,3,PRD,2015,FQ,3,2015_FQ_PRD_3
What was the Non-Current Liabilities so far for Q3 2013?,2013_FQ_PRD_3,PRD,2013,FQ,PRD,3,PRD,2013,FQ,3,2013_FQ_PRD_3
Could you tell me the Current Assets year to date for First half 2014?,2014_FH_PRD_1,PRD,2014,FH,PRD,1,PRD,2014,FH,1,2014_FH_PRD_1
What was the Revenue so far for FY 2024?,2024_FY_PRD_1,PRD,2024,FY,PRD,1,PRD,2024,FY,1,2024_FY_PRD_1
I want to know the Gross Profit as of for June 2025.,2025_M_PRD_6,PRD,2025,M,PRD,6,PRD,2025,M,0,2025_M_PRD_0
Can you share the Net Profit to date for FY 2025?,2025_FY_PRD_1,PRD,2025,FY,PRD,1,PRD,2025,FY,1,2025_FY_PRD_1
What was the Current Liabilities for the period for June 2015?,2015_M_FTP_6,FTP,2015,M,FTP,6,FTP,2015,M,0,2015_M_FTP_0
I want to know the Investing Cash Flow cumulative through for June 2024.,2024_M_PRD_6,PRD,2024,M,PRD,6,PRD,2024,M,0,2024_M_PRD_0
Can you share the Net Worth  for June 2015?,2015_M_FTP_6,FTP,2015,M,FTP,6,FTP,2015,M,0,2015_M_FTP_0
What was the Operating Expenses to date for June 2015?,2015_M_PRD_6,PRD,2015,M,PRD,6,PRD,2015,M,0,2015_M_PRD_0
I want to know the EBITDA up to for May 2022.,2022_M_PRD_5,PRD,2022,M,PRD,5,PRD,2022,M,0,2022_M_PRD_0
I want to know the Investing Cash Flow cumulative through for FY 2023.,2023_FY_PRD_1,PRD,2023,FY,PRD,1,PRD,2023,FY,1,2023_FY_PRD_1
Can you share the EPS up to for First half 2016?,2016_FH_PRD_1,PRD,2016,FH,PRD,1,PRD,2016,FH,1,2016_FH_PRD_1
What was the Assets  for First half 2023?,2023_FH_FTP_1,FTP,2023,FH,FTP,1,FTP,2023,FH,1,2023_FH_FTP_1
What was the Operating Cash Flow  for FY 2014?,2014_FY_FTP_1,FTP,2014,FY,FTP,1,FTP,2014,FY,1,2014_FY_FTP_1
Could you tell me the Operating Expenses to date for October 2015?,2015_M_PRD_10,PRD,2015,M,PRD,10,PRD,2015,M,0,2015_M_PRD_0
Please give me the Operating Expenses  for Q1 2021.,2021_FQ_FTP_1,FTP,2021,FQ,FTP,1,FTP,2021,FQ,1,2021_FQ_FTP_1
Please give me the Depreciation cumulative through for February 2016.,2016_M_PRD_2,PRD,2016,M,PRD,2,PRD,2016,M,0,2016_M_PRD_0
What was the Amortization so far for January 2019?,2019_M_PRD_1,PRD,2019,M,PRD,1,PRD,2019,M,0,2019_M_PRD_0
Please give me the Current Liabilities  for First half 2017.,2017_FH_FTP_1,FTP,2017,FH,FTP,1,FTP,2017,FH,1,2017_FH_FTP_1
Please give me the Free Cash Flow  for Q4 2016.,2016_FQ_FTP_4,FTP,2016,FQ,FTP,4,FTP,2016,FQ,4,2016_FQ_FTP_4
Please give me the Net Worth to date for FY 2013.,2013_FY_PRD_1,PRD,2013,FY,PRD,1,PRD,2013,FY,1,2013_FY_PRD_1
Can you share the Non-Current Assets for the period for Q3 2011?,2011_FQ_FTP_3,FTP,2011,FQ,FTP,3,FTP,2011,FQ,3,2011_FQ_FTP_3
Please give me the EBITDA year to date for Q4 2018.,2018_FQ_PRD_4,PRD,2018,FQ,PRD,4,PRD,2018,FQ,4,2018_FQ_PRD_4
Please give me the Net Worth for the period for Second half 2020.,2020_FH_FTP_2,FTP,2020,FH,FTP,2,FTP,2020,FH,2,2020_FH_FTP_2
